"Source Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[strain]"	"Characteristics[storage location]"	"Characteristics[freezing history]"	"Characteristics[developmental stage]"	"Characteristics[inbreeding state]"	"Characteristics[genetic alteration]"	"Characteristics[specimen with known storage state]"	"Comment[references]"	"Characteristics[model description]"	"Protocol REF"	"Protocol REF"	"Protocol REF"	"Date"	"Performer"	"Parameter Value[collection time]"	"Parameter Value[additive]"	"Parameter Value[additive concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[storage temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[storage duration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"growth protocol"	"treatment protocol"	"Sample collection"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
